region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
EMEA,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,103014.30233350198
EMEA,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,171648.13728614984
EMEA,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,136901.83852093454
EMEA,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,115651.6017977201
EMEA,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,168968.70705346213
EMEA,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,62394.474004391435
EMEA,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,289827.38938636228
EMEA,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,98946.3169631949
EMEA,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,236949.13530149646
EMEA,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,180141.1945078219
EMEA,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,62109.034551706682
EMEA,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,224495.85831450514
EMEA,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,136295.66387994372
EMEA,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,48087.944717804472
EMEA,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,153795.81289038158
EMEA,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,196547.30681476448
EMEA,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,64635.610522210132
EMEA,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,267539.84417970752
EMEA,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,307062.30969886167
EMEA,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,53228.920104070232
EMEA,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,104509.25355314605
